 32 ;number of following comments lines before data start
;A recent description of the construction of the composite can be found in:
; C. Fr\"ohlich, 2006, "Solar Irradiance Variability Since 1978: 
;    Revision of the {PMOD} Composite During Solar Cycle 21", 
;    Space Science Rev. 125: 53-65, 2006, available from 
;    ftp://ftp.pmodwrc.ch/pub/Claus/ISSI_WS2005/ISSI2005a_CF.pdf
;This dataset is freely available with one restriction:
;  If you use the data or some product based on the data in a published 
;  paper refer to the Reference above and acknowlege receipt  from PMOD/WRC, Davos, Switzerland,
;  of the updated dataset (mention version used) with new data from the VIRGO Experiment 
;  on the cooperative ESA/NASA Mission SoHO
;
;The composite listed below is version 42_64_1512 in file composite_42_64_1512.dat
;  available from ftp://ftp.pmodwrc.ch/pub/data/irradiance/composite/
;This file was created on Dec 23 2015
;
;Comment:
;Since VIRGO version 6.4 a new way to analyse the degradation and other long-term changes in space
;  is used and described in "Degradation of Radiometers in Space: Application to VIRGO TSI" available at:
;     ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;The difference in scale between TIM and the classical radiometers indicated a missing effect in the characterization 
;  of all classical radiometers and so also of PMO6V and DIARAD of VIRGO, which can now be corrected.
;  This is described in "VIRGO Radiometry: An Update of the Characterization of PMO6V and DIARAD" available at:
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf (a publication in the open literature is preparation).
;The factor for transforming the original scale of VIRGO (the basis for the PMOD Composite since version 42) 
;  to the new one is 0.9963812 and the new value is given in the first irradiance column
;Description of columns: 
;  1st col: date as YYMMDD
 760422 -1347.50  1360.6662  1365.6081
 760423 -1346.50  1360.6761  1365.6180
 760424 -1345.50  1360.6419  1365.5837
 760425 -1344.50  1360.6483  1365.5901
 760426 -1343.50  1360.5677  1365.5093
 760427 -1342.50  1360.5870  1365.5286
 760428 -1341.50  1360.5756  1365.5172
 760429 -1340.50  1360.5543  1365.4957
 760430 -1339.50  1360.4250  1365.3661
 760501 -1338.50  1360.5795  1365.5210
 760502 -1337.50  1360.6873  1365.6293
 760503 -1336.50  1360.7056  1365.6477
 760504 -1335.50  1360.7096  1365.6516
 760505 -1334.50  1360.6887  1365.6307
 760506 -1333.50  1360.6884  1365.6304
 760507 -1332.50  1360.6742  1365.6162
 760508 -1331.50  1360.6508  1365.5927
 760509 -1330.50  1360.6449  1365.5867
 760510 -1329.50  1360.6405  1365.5822
 760511 -1328.50  1360.6660  1365.6078
 760512 -1327.50  1360.6674  1365.6093
 760513 -1326.50  1360.6506  1365.5925
 760514 -1325.50  1360.7003  1365.6423
 760515 -1324.50  1360.7106  1365.6526
 760516 -1323.50  1360.7600  1365.7022
 760517 -1322.50  1360.7854  1365.7277
 760518 -1321.50  1360.7961  1365.7385
 760519 -1320.50  1360.8054  1365.7478
 760520 -1319.50  1360.8211  1365.7635
 760521 -1318.50  1360.8389  1365.7814
 760522 -1317.50  1360.8174  1365.7599
 760523 -1316.50  1360.8063  1365.7487
 760524 -1315.50  1360.8061  1365.7485
 760525 -1314.50   -98.6417   -99.0000
 760526 -1313.50  1360.7486  1365.6908
 760527 -1312.50   -98.6417   -99.0000
 760528 -1311.50   -98.6417   -99.0000
 760529 -1310.50   -98.6417   -99.0000
 760530 -1309.50   -98.6417   -99.0000
 760531 -1308.50   -98.6417   -99.0000
 760601 -1307.50   -98.6417   -99.0000
 760602 -1306.50   -98.6417   -99.0000
 760603 -1305.50   -98.6417   -99.0000
 760604 -1304.50   -98.6417   -99.0000
 760605 -1303.50   -98.6417   -99.0000
 760606 -1302.50   -98.6417   -99.0000
 760607 -1301.50   -98.6417   -99.0000
 760608 -1300.50  1360.7263  1365.6684
 760609 -1299.50  1360.7024  1365.6444
 760610 -1298.50  1360.7078  1365.6498
 760611 -1297.50   -98.6417   -99.0000
 760612 -1296.50  1360.7204  1365.6625
 760613 -1295.50  1360.7304  1365.6725
 760614 -1294.50  1360.7199  1365.6620
 760615 -1293.50  1360.7261  1365.6682
 760616 -1292.50  1360.7171  1365.6592
 760617 -1291.50  1360.6545  1365.5963
 760618 -1290.50  1360.6213  1365.5631
 760619 -1289.50  1360.6453  1365.5871
 760620 -1288.50  1360.7145  1365.6565
 760621 -1287.50  1360.6885  1365.6305
 760622 -1286.50  1360.7576  1365.6998
 760623 -1285.50  1360.7560  1365.6982
 760624 -1284.50  1360.7344  1365.6765
 760625 -1283.50  1360.7048  1365.6468
 760626 -1282.50  1360.6867  1365.6286
 760627 -1281.50  1360.7007  1365.6427
 760628 -1280.50  1360.6740  1365.6159
 760629 -1279.50  1360.6918  1365.6338
 760630 -1278.50  1360.6808  1365.6227
 760701 -1277.50  1360.6643  1365.6061
 760702 -1276.50  1360.6980  1365.6400
 760703 -1275.50  1360.7072  1365.6493
 760704 -1274.50  1360.7025  1365.6445
 760705 -1273.50  1360.7032  1365.6452
 760706 -1272.50  1360.6995  1365.6415
 760707 -1271.50  1360.7011  1365.6431
 760708 -1270.50   -98.6417   -99.0000
 760709 -1269.50   -98.6417   -99.0000
 760710 -1268.50   -98.6417   -99.0000
 760711 -1267.50   -98.6417   -99.0000
 760712 -1266.50   -98.6417   -99.0000
 760713 -1265.50   -98.6417   -99.0000
 760714 -1264.50   -98.6417   -99.0000
 760715 -1263.50   -98.6417   -99.0000
 760716 -1262.50   -98.6417   -99.0000
 760717 -1261.50   -98.6417   -99.0000
 760718 -1260.50   -98.6417   -99.0000
 760719 -1259.50   -98.6417   -99.0000
 760720 -1258.50   -98.6417   -99.0000
 760721 -1257.50   -98.6417   -99.0000
 760722 -1256.50   -98.6417   -99.0000
 760723 -1255.50   -98.6417   -99.0000
 760724 -1254.50   -98.6417   -99.0000
 760725 -1253.50   -98.6417   -99.0000
 760726 -1252.50   -98.6417   -99.0000
 760727 -1251.50   -98.6417   -99.0000
 760728 -1250.50   -98.6417   -99.0000
 760729 -1249.50   -98.6417   -99.0000
 760730 -1248.50   -98.6417   -99.0000
 760731 -1247.50  1360.7373  1365.6794
 760801 -1246.50  1360.7225  1365.6646
 760802 -1245.50  1360.6427  1365.5845
 760803 -1244.50  1360.5583  1365.4998
 760804 -1243.50  1360.4717  1365.4129
 760805 -1242.50  1360.4086  1365.3495
 760806 -1241.50  1360.3308  1365.2714
 760807 -1240.50  1360.3362  1365.2769
 760808 -1239.50  1360.3013  1365.2419
 760809 -1238.50  1360.4492  1365.3903
 760810 -1237.50  1360.4587  1365.3998
